Method	Test dataset	Level	Label	Precision	Recall	F1	Accuracy
1-Baseline	usa	1	Be creative	0.02	1	0.05	0.02
1-Baseline	usa	1	Be curious	0.04	1	0.07	0.04
1-Baseline	usa	1	Have freedom of thought	0.14	1	0.25	0.14
1-Baseline	usa	1	Be choosing own goals	0.2	1	0.33	0.2
1-Baseline	usa	1	Be independent	0.14	1	0.24	0.14
1-Baseline	usa	1	Have freedom of action	0.19	1	0.31	0.19
1-Baseline	usa	1	Have privacy	0.01	1	0.03	0.01
1-Baseline	usa	1	Have an exciting life	0.01	1	0.02	0.01
1-Baseline	usa	1	Have a varied life	0.05	1	0.09	0.05
1-Baseline	usa	1	Be daring	0.01	1	0.02	0.01
1-Baseline	usa	1	Have pleasure	0.01	1	0.01	0.01
1-Baseline	usa	1	Be ambitious	0.06	1	0.11	0.06
1-Baseline	usa	1	Have success	0.18	1	0.31	0.18
1-Baseline	usa	1	Be capable	0.17	1	0.28	0.17
1-Baseline	usa	1	Be intellectual	0.15	1	0.26	0.15
1-Baseline	usa	1	Be courageous	0	1	0.01	0
1-Baseline	usa	1	Have influence	0.07	1	0.13	0.07
1-Baseline	usa	1	Have the right to command	0.07	1	0.12	0.07
1-Baseline	usa	1	Have wealth	0.06	1	0.12	0.06
1-Baseline	usa	1	Have social recognition	0.04	1	0.08	0.04
1-Baseline	usa	1	Have a good reputation	0.01	1	0.03	0.01
1-Baseline	usa	1	Have a sense of belonging	0.09	1	0.17	0.09
1-Baseline	usa	1	Have good health	0.17	1	0.29	0.17
1-Baseline	usa	1	Have no debts	0.07	1	0.14	0.07
1-Baseline	usa	1	Have a comfortable life	0.2	1	0.33	0.2
1-Baseline	usa	1	Have a safe country	0.08	1	0.14	0.08
1-Baseline	usa	1	Have a stable society	0.2	1	0.34	0.2
1-Baseline	usa	1	Be respecting traditions	0.11	1	0.2	0.11
1-Baseline	usa	1	Be holding religious faith	0.09	1	0.16	0.09
1-Baseline	usa	1	Be compliant	0.14	1	0.24	0.14
1-Baseline	usa	1	Be self-disciplined	0.03	1	0.05	0.03
1-Baseline	usa	1	Be behaving properly	0.11	1	0.19	0.11
1-Baseline	usa	1	Be polite	0.02	1	0.03	0.02
1-Baseline	usa	1	Be honoring elders	0.01	1	0.01	0.01
1-Baseline	usa	1	Be humble	0.02	1	0.05	0.02
1-Baseline	usa	1	Have life accepted as is	0.07	1	0.13	0.07
1-Baseline	usa	1	Be helpful	0.19	1	0.32	0.19
1-Baseline	usa	1	Be honest	0.04	1	0.08	0.04
1-Baseline	usa	1	Be forgiving	0.01	1	0.01	0.01
1-Baseline	usa	1	Have the own family secured	0.1	1	0.18	0.1
1-Baseline	usa	1	Be loving	0.03	1	0.05	0.03
1-Baseline	usa	1	Be responsible	0.13	1	0.22	0.13
1-Baseline	usa	1	Have loyalty towards friends	0.01	1	0.01	0.01
1-Baseline	usa	1	Have equality	0.17	1	0.29	0.17
1-Baseline	usa	1	Be just	0.24	1	0.39	0.24
1-Baseline	usa	1	Have a world at peace	0.03	1	0.07	0.03
1-Baseline	usa	1	Be protecting the environment	0	1	0.01	0
1-Baseline	usa	1	Have harmony with nature	0.06	1	0.12	0.06
1-Baseline	usa	1	Have a world of beauty	0	1	0	0
1-Baseline	usa	1	Be broadminded	0.13	1	0.24	0.13
1-Baseline	usa	1	Have the wisdom to accept others	0.06	1	0.11	0.06
1-Baseline	usa	1	Be logical	0.11	1	0.2	0.11
1-Baseline	usa	1	Have an objective view	0.15	1	0.26	0.15
1-Baseline	usa	1	Mean	0.08	1	0.16	0.08
1-Baseline	usa	2	Self direction  thought	0.19	1	0.31	0.19
1-Baseline	usa	2	Self direction  action	0.31	1	0.47	0.31
1-Baseline	usa	2	Stimulation	0.06	1	0.11	0.06
1-Baseline	usa	2	Hedonism	0.01	1	0.01	0.01
1-Baseline	usa	2	Achievement	0.33	1	0.49	0.33
1-Baseline	usa	2	Power  dominance	0.12	1	0.22	0.12
1-Baseline	usa	2	Power  resources	0.06	1	0.12	0.06
1-Baseline	usa	2	Face	0.05	1	0.1	0.05
1-Baseline	usa	2	Security  personal	0.45	1	0.62	0.45
1-Baseline	usa	2	Security  societal	0.25	1	0.4	0.25
1-Baseline	usa	2	Tradition	0.16	1	0.28	0.16
1-Baseline	usa	2	Conformity  rules	0.21	1	0.34	0.21
1-Baseline	usa	2	Conformity  interpersonal	0.02	1	0.04	0.02
1-Baseline	usa	2	Humility	0.09	1	0.16	0.09
1-Baseline	usa	2	Benevolence  caring	0.32	1	0.49	0.32
1-Baseline	usa	2	Benevolence  dependability	0.13	1	0.23	0.13
1-Baseline	usa	2	Universalism  concern	0.37	1	0.54	0.37
1-Baseline	usa	2	Universalism  nature	0.07	1	0.12	0.07
1-Baseline	usa	2	Universalism  tolerance	0.17	1	0.28	0.17
1-Baseline	usa	2	Universalism  objectivity	0.2	1	0.34	0.2
1-Baseline	usa	2	Mean	0.18	1	0.3	0.18
1-Baseline	usa	3	Openness to change	0.4	1	0.58	0.4
