Argument ID	Openness to change	Self-enhancement	Conservation	Self-transcendence
A01001	0	0	1	0
A01002	0	0	1	0
A01003	1	0	0	0
A01004	0	0	1	0
A01005	0	0	1	0
A01006	0	1	1	0
A01007	0	0	1	1
A01008	0	0	1	1
A01009	0	0	1	1
A01010	1	0	1	1
A01011	0	1	1	1
A01012	0	0	0	1
A01013	0	0	1	0
A01014	0	0	0	1
A01015	0	0	1	1
A01016	0	0	1	0
A01017	0	1	0	1
A01018	0	1	0	1
A01019	0	0	1	0
A01020	1	0	0	0
A02001	0	0	1	1
A02002	1	0	0	0
A02003	0	1	0	1
A02004	0	0	0	1
A02005	0	0	1	1
A02006	0	0	1	0
A02007	0	0	0	1
A02008	0	0	0	1
A02009	0	0	1	1
A02010	0	0	1	0
A02011	0	0	1	1
A02012	1	0	1	0
A02013	0	0	1	1
A02014	1	0	1	1
A02015	1	0	0	0
A02016	0	0	0	1
A02017	0	0	0	1
A02018	0	0	0	1
A02019	0	0	0	1
A02020	1	0	0	1
A03001	0	0	1	0
A03002	0	0	1	0
A03003	0	0	1	1
A03004	0	0	1	0
A03005	0	0	1	0
A03006	0	0	0	1
A03007	0	0	1	0
A03008	0	0	0	1
A03009	0	0	1	0
A03010	0	0	1	0
A03011	0	0	1	0
A03012	0	0	0	1
A03013	0	1	0	0
A03014	0	0	1	0
A03015	0	0	1	0
A03016	0	0	0	1
A03017	1	0	1	1
A03018	0	1	1	0
A03019	0	0	0	1
A03020	0	1	0	1
A04001	0	0	1	1
A04002	0	0	1	0
A04003	1	0	0	0
A04004	0	0	0	1
A04005	0	1	0	1
A04006	0	0	1	0
A04007	0	0	1	0
A04008	0	0	1	1
A04009	1	0	0	0
A04010	0	0	1	1
A04011	1	0	1	0
A04012	0	0	1	1
A04013	0	0	1	0
A04014	0	0	0	1
A04015	0	0	1	0
A04016	0	1	0	0
A04017	0	0	0	1
A04018	0	0	1	0
A04019	1	0	1	0
A04020	0	0	1	1
A05001	1	0	0	1
A05002	1	0	1	1
A05003	0	0	1	1
A05004	0	0	1	1
A05005	0	0	0	1
A05006	1	0	1	0
A05007	0	1	1	0
A05008	1	0	1	1
A05009	0	0	1	1
A05010	1	0	1	0
A05011	0	0	1	1
A05012	0	0	0	1
A05013	0	0	1	0
A05014	0	0	1	1
A05015	1	1	0	1
A05016	0	0	0	1
A05017	0	0	1	1
A05018	0	1	1	1
A05019	0	0	0	1
A05020	1	0	0	1
A05021	0	0	1	0
A05022	0	1	1	1
A05023	0	0	1	1
A05024	0	0	1	1
A05025	1	0	0	1
A05026	1	1	1	1
A05027	1	1	0	0
A05028	0	0	1	1
A05029	1	1	0	1
A05030	0	1	0	1
A05031	0	0	1	1
A05032	0	0	1	1
A05033	0	0	1	1
A05034	0	0	0	1
A05035	1	0	1	1
A05036	0	1	0	1
A05037	1	1	0	0
A05038	1	0	0	0
A05043	0	0	0	1
A05045	0	0	0	1
A05048	0	0	1	1
A05049	1	0	1	0
A05050	1	0	0	0
A05052	0	0	1	1
A05053	0	1	1	1
A05054	0	0	1	1
A05055	0	0	0	1
A05056	0	0	1	1
A05057	1	0	1	1
A05058	1	1	1	1
A05059	0	0	1	1
A05062	0	0	1	1
A05063	0	1	1	1
A05064	0	0	0	1
A05065	0	0	1	1
A05066	0	0	1	1
A05067	0	0	1	1
A05069	0	0	1	0
A05071	0	0	0	1
A05072	1	0	0	1
A05073	0	0	0	1
A05074	0	0	1	1
A05075	0	0	1	1
A05076	0	1	0	0
A05077	1	0	1	0
A05078	1	0	1	1
A05079	0	0	1	1
A05080	1	1	1	0
A05081	0	0	1	1
A05082	0	1	1	1
A05083	1	1	1	1
A05084	1	1	1	0
A05086	1	0	1	0
A05087	1	1	1	0
A05088	1	1	0	0
A05090	1	0	0	0
A05091	0	1	0	0
A05092	1	0	1	0
A05093	1	1	1	0
A05095	0	1	1	0
A05096	1	0	1	1
A05097	0	0	1	1
A05098	0	1	0	1
A05099	0	0	1	0
A05100	1	1	0	1
A06001	0	0	1	1
A06002	0	0	0	1
A06003	0	0	1	0
A06004	0	0	1	0
A06005	0	1	0	0
A06006	0	0	0	1
A06007	1	0	0	1
A06008	0	0	1	0
A06010	1	0	0	0
A06011	0	1	0	1
A06012	0	1	1	0
A06013	0	0	1	1
A06014	0	0	0	1
A06015	1	0	1	0
A06016	0	0	0	1
A06019	0	0	1	0
A06020	0	1	1	1
A07001	0	1	1	1
A07002	0	1	1	1
A07003	1	1	1	1
A07004	0	1	1	1
A07008	0	1	1	1
A07009	0	1	1	1
A07010	0	0	1	1
A07011	0	1	1	1
A07012	1	0	1	1
A07013	1	1	1	1
A07014	0	0	1	1
A07015	0	0	1	1
A07016	0	0	1	1
A07018	1	0	1	1
A07019	0	1	1	1
A07020	0	0	1	1
A07021	0	0	1	0
A07022	0	0	1	1
A07023	1	1	0	1
A07024	1	1	1	1
A07025	0	0	1	1
A07026	1	1	1	1
A07027	1	1	1	1
A07028	1	1	1	1
A07029	1	0	1	1
A07030	0	0	1	1
A07031	1	1	1	0
A07032	1	1	1	1
A07033	0	0	1	0
A07034	1	1	1	1
A07035	1	0	1	1
A07037	1	1	0	1
A07038	1	0	0	1
A07040	0	1	1	1
A07042	0	0	1	0
A07043	0	0	1	1
A07044	0	0	1	0
A07045	1	0	0	1
A07046	0	0	1	1
A07048	1	1	1	1
A07049	1	1	1	1
A07050	1	1	1	0
A07051	1	1	0	1
A07052	0	1	1	1
A07053	1	1	1	1
A07054	0	1	0	1
A07055	0	0	1	0
A07056	0	0	1	1
A07058	0	1	1	1
A07059	0	0	1	1
A07060	1	0	1	1
A07061	1	0	1	0
A07062	0	0	1	1
A07063	0	0	1	0
A07065	0	0	1	1
A07066	1	1	0	1
A07068	0	1	1	0
A07069	0	0	1	0
A07070	1	1	1	1
A07071	1	0	1	1
A07073	1	1	1	1
A07074	1	1	0	1
A07075	1	1	1	1
A07076	0	1	1	1
A07077	0	1	1	1
A07078	1	0	1	1
A07079	0	1	1	1
A07080	0	0	1	1
A07081	1	0	0	1
A07082	0	0	1	1
A07084	0	0	1	1
A07085	0	0	1	1
A07086	0	1	1	1
A07087	1	0	1	1
